Question Title,Answer,Tags,Doctor Rank,Topics,MCC Team,Possible Multiple Answers,Long Answer,Special Question Notes,Planted x for caregiver launch
What is the goal of treatment in glioblastoma?,"The goals are to manage your disease and keep you feeling as well as possible  for as long as possible. Unfortunately, there is no cure for glioblastoma. The treatments we have may help to shrink the tumor or slow it down to keep it from growing.  We also have a lot of hope for new treatments and many of these are in clinical trials. The brain tumor community is working tirelessly to advance new therapies. The goal of your care team is to manage the disease and keep it controlled for as long as possible. As important, the goals are to ensure that the side effects of treatment are minimized so you can have a good quality of life. Living your life to the fullest while getting treatment for glioblastoma is a critical concept. ","goals, cure, hope, surgery, chemotherapy, radiation",1,Treatment,"Neuro-Oncology Team, NeuroSurgery Team, Patient & Caregiver Team",,,,
Does surgery carry risks? Is surgery worth it?,"The risk of a particular operation is a discussion that you will have with your neurosurgeon. Estimating how much risk is involved with a surgery depends on your tumor location and your overall health, so it is a little different for each person.  In general, if your surgeon is recommending that you have surgery to have the tumor removed, they likely think that the risk of a serious complication is low.  If the risk of complications is high, the surgeon may suggest a biopsy (a less invasive procedure where only a small piece of the tumor is removed for diagnostic purposes) and not a bigger removal of the tumor. The goal of any brain tumor surgery is to remove as much tumor as possible without hurting you (also called a gross total resection). That said, all surgery including brain surgery has risks. Risks can include things like postoperative infection or bleeding in the brain, both of which could require additional surgery to treat. Also, with any brain surgery, there is a risk of strokes in the brain following the operation. These strokes may be asymptomatic or may cause permanent new neurologic problems. That all said, The risks of a serious complication with an experienced brain tumor surgery team are low. If the tumor can be removed, people tend to live longer and do better with the treatments that follow, so we usually think that the low risk of complications is worth the benefit.  ","neurosurgery, neurosurgeon, craniotomy, risks, complications, gross total resection",0.5,Treatment,NeuroSurgery Team,,,,
I’ve just had surgery for my brain tumor. I feel fluid swooshing around in my head. Is that normal?,"Patients can feel a variety of symptoms after brain tumor surgery. These include a sense of fluid moving around inside your head, ringing in your ears, pain when chewing, etc.  Certainly discuss these symptoms with your doctor if they occur. Concerning issues which should prompt urgent evaluation after surgery include fevers after surgery, drainage from the wound, and wound breakdown. Bottom line, if you’re concerned, talk to your doctor to get clarity.","brain surgery, craniotomy, postop, infection, wound, fluid",1,Treatment,"NeuroSurgery Team, Patient & Caregiver Team",,,,
Why do I need chemotherapy and radiation?,"For patients with glioblastoma and gliomas generally, surgery by itself is not an effective treatment without chemotherapy and radiation. This is because even though the tumor looks “gone” after surgery on the MRI scan, there will likely still be tumor cells mixed in with normal adjacent brain. In surgery, we typically cannot remove every last cell of tumor because that would likely cause permanent neurologic harm and disability to you.  You may hear patients with other types of cancer having surgery with “clean margins”, meaning that there was no cancer seen at the edges of what was removed. In neurosurgery, surgeons will never remove any more brain tissue than necessary. This is because the brain beyond the tumor is functionally important.  Because of this, it is always assumed that there are some tumor cells that get left behind. And so, our goals of chemotherapy and radiation are to kill those residual cells in the brain to prevent the tumor from re-growing.","chemotherapy, radiation, temodar, brain surgery, temozolomide",0.5,Treatment,"Neuro-Oncology Team, NeuroSurgery Team",,,,
Are there minimally invasive procedures or keyhole surgery options for glioblastoma?,"To remove a brain tumor, we need to temporarily remove a piece of skull to do the procedure. The incision length can vary depending on where the tumor is located and how big the tumor measures.  Your neurosurgeon's goal is to do an effective, safe procedure. That means taking out as much of the tumor as is possible while at the same time keeping you safe. So of course, ask about minimally invasive options, but the size of the incision is not that important. These incisions generally heal very well and quickly.
","craniotomy, brain surgery, surgery, minimally invasive, keyhole, MIS, incision",0.4,Treatment,NeuroSurgery Team,,,,
How does chemotherapy work?,"Cancer cells grow and divide quickly- chemotherapy drugs work to stop or slow the growth of these cancer cells by poisoning them. These treatments may damage healthy cells that are dividing quickly as well, causing possible side effects. However, these side effects usually improve after chemotherapy is stopped. There are lots of different types of chemotherapy. Some are used for multiple cancers, while a few are given only for select types. Chemotherapy can be taken in different ways such as with a pill or via an infusion into the blood. Many chemotherapies have unique dosing schedules which maximize their effectiveness and minimize side effects. The most commonly used chemotherapy used for glioblastoma is temozolomide (temodar), which is taken by mouth and gets into the brain well (across the blood brain barrier). 
","chemotherapy, blood brain barrier, BBB, temodar, how things work",0.6,Treatment,Neuro-Oncology Team,,,,
Are there special diets that I should consider either before or after surgery?,"There are no proven diets that are known to be effective with gliomas. However, there are many studies underway, including investigations in the ketogenic diet (https://clinicaltrials.gov/ct2/show/NCT04691960) which may shed light on the effect of diets on patients with glioblastoma. In the meantime, please eat a healthy, nutritious diet and enjoy your food.","diet, ketogenic diet, nutrition",1,Treatment,Neuro-Oncology Team,,,,
What is temodar (ie temozolomide)? How does it work?,"Temozolomide is a chemotherapy medication. Most chemotherapy drugs, like temozolomide, work by killing rapidly dividing cells. Cancer cells are some of the most rapidly dividing cells in the body, and so temozolomide targets them. Temozolomide works by damaging the DNA of the cells so that the cell can no longer divide. Temozolomide is used for glioblastoma because it is a chemotherapy that can get into the brain.
","temodar, temozolomide, chemotherapy, vocabulary, medication",0.9,Treatment,Neuro-Oncology Team,,,,
How does radiation therapy work?,"In radiation treatment, X-rays are targeted at the tumor and/or the cavity where the tumor was taken out to kill the cancer cells. These X-rays are mapped to only target the area of the brain involved with the tumor and not the normal brain cells. You don’t feel the radiation treatment, and you aren’t “radioactive” (no one around you will be affected).","radiation, how things work",1,Treatment,Neuro-Oncology Team,,,,
Are there nutritional supplements I should take or avoid?,"Most of your nutritional needs should come from your food. The vast majority of people are able to get all of the vitamins and nutrients they need from a well-balanced diet.  Sometimes a multivitamin can be helpful if you have a more limited diet or a nutritional booster. 

Your doctor may recommend supplemental vitamins to treat specific health conditions.  For example, if you are anemic or have low iron, your doctor may recommend iron supplements, or if you have low bone density or are on long term steroids, your doctor may recommend calcium or vitamin D for bone health. 

To date, there has not been a nutritional supplement that is specifically proven to treat glioblastoma based on evidence from clinical trials. There is a lot of information out there that some supplements may help your body fight cancer or may boost your immune system. Some of these supplements can be quite safe, but others have potentially serious interactions with prescription medications.  

For example, there are some supplements that can increase the risk of bleeding, which is dangerous if you are on a blood thinner or if your blood counts are low from chemotherapy. Other supplements can interfere with the metabolism of chemotherapy pills or seizure medications, which can make the drug levels in your body higher or lower than what was intended for you. If you are considering a nutritional supplement, it is essential that you first discuss with your oncologist so they can check for any interactions with your other medications and keep you safe. ","diet, nutrition, supplements",1,Treatment,Neuro-Oncology Team,,checked,,
